problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,2,stable_side,50000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,51000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,52000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,53000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,54000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,55000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,56000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,57000,0.01,0,1,1,1
LIRCMOP6_BC,2,stable_side,58000,0.01,0,1,1,1
LIRCMOP6_BC,2,stable_side,59000,0.01,0,2,2,2
LIRCMOP6_BC,2,stable_side,60000,0.01,0,4,4,4
LIRCMOP6_BC,2,stable_side,61000,0.01,0,5,4,4
LIRCMOP6_BC,2,stable_side,62000,0.01,0,6,6,6
LIRCMOP6_BC,2,stable_side,63000,0.01,0,5,4,4
LIRCMOP6_BC,2,stable_side,64000,0.01,0,4,4,4
LIRCMOP6_BC,2,stable_side,65000,0.01,0,3,3,2
LIRCMOP6_BC,2,stable_side,66000,0.01,0,3,3,2
LIRCMOP6_BC,2,stable_side,67000,0.01,0,2,2,1
LIRCMOP6_BC,2,stable_side,68000,0.01,0,3,2,1
LIRCMOP6_BC,2,stable_side,69000,0.01,0,3,2,1
LIRCMOP6_BC,2,stable_side,70000,0.01,0,2,1,1
LIRCMOP6_BC,2,stable_side,71000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,72000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,73000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,74000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,75000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,76000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,77000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,78000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,79000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,80000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,81000,0.01,0,0,0,0
LIRCMOP6_BC,2,stable_side,82000,0.01,0,0,0,0
